country,iso2c,iso3c,year,status,lastupdated,mfg_va,fdi_pct_gdp,trade_open,gdp_pc,region,capital,longitude,latitude,income,lending
Kazakhstan,KZ,KAZ,2015,,2026-04-08,10.2754093827734,3.56737402233377,53.0497288072652,10196.1226255982,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD
Kazakhstan,KZ,KAZ,2016,,2026-04-08,11.3301396708405,12.5466202801438,60.3115965864153,7475.56688689424,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD
Kazakhstan,KZ,KAZ,2017,,2026-04-08,11.2801569362864,2.85205738000704,56.825387935971,8943.08416791984,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD
Kazakhstan,KZ,KAZ,2018,,2026-04-08,11.4286227484553,0.196995426846668,63.5279565118188,9472.48527327758,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD
Kazakhstan,KZ,KAZ,2019,,2026-04-08,11.466364067234,2.05367649290766,64.8586165517565,9457.12614657136,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD
Kazakhstan,KZ,KAZ,2020,,2026-04-08,13.0725321801007,4.21199990309163,57.0264423660931,8781.50797787648,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD
Kazakhstan,KZ,KAZ,2021,,2026-04-08,13.6087547428034,2.31675874599247,58.6686085779207,9983.60103576902,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD
Kazakhstan,KZ,KAZ,2022,,2026-04-08,13.4242966658263,2.25355434978679,68.3343147415612,11255.3396437881,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD
Kazakhstan,KZ,KAZ,2023,,2026-04-08,12.2881884103734,2.18549414987511,62.3342837675021,12879.4275257974,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD
Mongolia,MN,MNG,2010,,2026-04-08,6.81401359516201,23.5263365544641,103.350031656557,2625.21881402433,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2011,,2026-04-08,7.06994259514331,43.9121127615061,126.999228633482,3736.04201455077,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2012,,2026-04-08,7.48223219076914,34.7559826095308,109.588564338415,4328.89001905655,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2013,,2026-04-08,8.72166390590704,16.3700755246398,100.311989662943,4340.14310544449,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2014,,2026-04-08,8.77729309296388,2.7625883357052,109.322311877187,4126.23975800524,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2015,,2026-04-08,7.01550583710279,0.811709460633853,89.653663477814,3838.92126989984,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2016,,2026-04-08,6.66750559995597,-37.1726532341221,101.055237224997,3619.90026383792,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2017,,2026-04-08,6.89823821479702,13.0160280600797,115.932901867963,3645.96708669551,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2018,,2026-04-08,7.05321710338318,14.8088797144773,126.355873241513,4107.64288528468,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2019,,2026-04-08,7.06955554689873,17.1989395200126,124.396514621165,4347.54610314873,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2020,,2026-04-08,7.75616468509037,12.9130799939653,112.838647629317,4001.25193077703,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2021,,2026-04-08,7.10918210222536,14.217731942267,119.098078437771,4517.61578018785,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2022,,2026-04-08,7.11716459497276,14.6053065112102,136.327929944516,4993.51487463495,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Mongolia,MN,MNG,2023,,2026-04-08,6.29808745235684,11.0581069914836,142.864246599181,5838.63108083902,East Asia & Pacific,Ulaanbaatar,106.937,47.9129,Upper middle income,IBRD
Uzbekistan,UZ,UZB,2010,,2026-04-08,10.1811359695823,3.34115466012917,49.2689977994484,1753.20730243278,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2011,,2026-04-08,10.2450890019411,2.68375111593279,49.6542884929351,2087.86386135694,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2012,,2026-04-08,10.5353690643513,1.10230120247607,44.2393191333204,2307.34649117185,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2013,,2026-04-08,11.6145232608903,0.945033981533171,42.3779149727359,2461.97947403595,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2014,,2026-04-08,12.6883574975987,1.00027476951682,36.3570546649043,2674.9628382103,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2015,,2026-04-08,12.8094689336525,1.20794015152469,30.7561914307089,2803.19018021751,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2016,,2026-04-08,13.6540206285506,1.93048466413592,29.1922970388042,2753.37951427589,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2017,,2026-04-08,14.0025699748323,2.57993736270607,42.5595081895217,2190.60411562888,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2018,,2026-04-08,16.1531607468822,1.06427628704368,64.1381394985773,1813.08530813664,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2019,,2026-04-08,17.547885761433,3.44235052410005,64.9639227632407,2041.38480729431,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2020,,2026-04-08,19.1278574156415,2.60108803608825,56.0515308349971,1978.28051860763,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2021,,2026-04-08,19.470717302152,2.94839500995796,57.4589716973222,2258.51964119278,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2022,,2026-04-08,19.0715817765466,2.94947448385164,62.8412525378517,2578.66689394219,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2023,,2026-04-08,19.3636989151573,2.10084902446518,66.1051443040339,2878.96879292451,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Viet Nam,VN,VNM,2010,,2026-04-08,17.1305705708367,5.4347392933443,113.977687539714,1683.16182443979,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2011,,2026-04-08,18.694145538196,4.30487434902161,125.260577940829,1950.92504174913,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2012,,2026-04-08,20.2740924828827,4.27832287681174,123.224116745985,2185.11767654291,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2013,,2026-04-08,20.6874536915425,4.16454517277325,130.846354866743,2359.51736472828,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2014,,2026-04-08,20.371229229791,3.94086189051961,135.410521454361,2546.38464459903,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2015,,2026-04-08,20.9600916821922,4.93190773329022,144.914228195237,2577.56885340113,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2016,,2026-04-08,21.4882532002034,4.90089302916746,145.409507973118,2735.0604380416,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2017,,2026-04-08,22.6271239749306,5.01148721749681,160.98008365887,2956.10992127753,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2018,,2026-04-08,23.3671679233065,4.99828319622328,164.663936775893,3222.31003125366,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2019,,2026-04-08,23.7867165015145,4.821074861051,164.704215031408,3440.90025375434,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2020,,2026-04-08,23.9472430412931,4.55836196782424,163.245862814935,3534.03953482647,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2021,,2026-04-08,24.4593726835115,4.27314566190187,186.675832836814,3704.1935590038,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2022,,2026-04-08,24.7772286923041,4.32947308910883,183.153619147836,4147.69777213621,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2023,,2026-04-08,24.179672453009,4.26407109843686,164.818071269894,4323.35031982451,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
